,hhid,group_id_x,totformalborrow_24,totinformalborrow_24,hhinc,hhnomembers_x,survey_round,hhinc_24,totformalborrow_24_top_coded,totinformalborrow_24_top_coded,hhinc_top_coded,hhinc_24_top_coded,total_borrowed_amount,pair_id,treated,daily_per_capita_income,below_poverty_line,gender_hoh,age_hoh,educyears_hoh,readwrite_hoh,noclasspassed_hoh,higheduc_hoh,hhnomembers_above18,hhnomembers_below18,hhreg_muslim,hhreg_christian,hhcaste_fc,hhcaste_bc,hhcaste_mbc,hhcaste_sc_st
58,4494.0,40.0,50000,2000,2620,1,Endline I,62880,50000.0,2000.0,2620.0,62880.0,52000,34,0,87.33333333333333,1,Female (0),63.0,11 years,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
59,4580.0,87.0,50000,159000,8700,4,Endline I,208800,50000.0,159000.0,8700.0,208800.0,209000,10,1,72.5,1,Male (1),45.0,11 years,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
60,4586.0,62.0,80000,48000,9156,5,Endline I,219744,80000.0,48000.0,9156.0,219744.0,128000,7,1,61.04,1,Male (1),61.0,3-7 years (Classes 1-5),1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
61,4637.0,14.0,200000,30000,31000,5,Endline I,744000,200000.0,30000.0,31000.0,744000.0,230000,1,0,206.66666666666666,1,Male (1),56.0,9 years,1.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
62,4689.0,96.0,20000,30000,6750,3,Endline II,162000,20000.0,30000.0,6750.0,162000.0,50000,14,0,75.0,1,Female (0),26.0,0 years,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
63,4916.0,22.0,46000,30000,3750,6,Endline I,90000,46000.0,30000.0,3750.0,90000.0,76000,26,1,20.833333333333332,0,Male (1),60.0,10 years,1.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
64,4955.0,134.0,25000,30000,4000,2,Endline II,96000,25000.0,30000.0,4000.0,96000.0,55000,21,0,66.66666666666667,1,Female (0),40.0,0 years,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
65,4982.0,21.0,50000,130000,8740,7,Endline I,209760,50000.0,130000.0,8740.0,209760.0,180000,26,0,41.61904761904761,1,Male (1),65.0,0 years,0.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
66,5007.0,101.0,100000,30000,1400,4,Endline II,33600,100000.0,30000.0,1400.0,33600.0,130000,16,0,11.666666666666666,0,Male (1),75.0,3-7 years (Classes 1-5),0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
67,5057.0,94.0,50000,30000,400,4,Endline I,9600,50000.0,30000.0,400.0,9600.0,80000,20,1,3.3333333333333335,0,Female (0),62.0,0 years,0.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
68,5405.0,124.0,50000,35000,2700,6,Endline I,64800,50000.0,35000.0,2700.0,64800.0,85000,17,1,15.0,0,Female (0),37.0,3-7 years (Classes 1-5),0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
69,5457.0,48.0,60000,20000,10000,5,Endline I,240000,60000.0,20000.0,10000.0,240000.0,80000,1,1,66.66666666666666,1,Male (1),43.0,11 years,1.0,0.0,0.0,4.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
70,5501.0,62.0,41000,25000,24550,9,Endline I,589200,41000.0,25000.0,24550.0,589200.0,66000,7,1,90.92592592592592,1,Female (0),35.0,3-7 years (Classes 1-5),1.0,0.0,0.0,5.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0
71,5503.0,3.0,70000,20000,4800,4,Endline II,115200,70000.0,20000.0,4800.0,115200.0,90000,31,1,40.0,1,Male (1),37.0,14 years (Class 12/HSC),1.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0
72,5722.0,48.0,80000,40000,11000,6,Endline I,264000,80000.0,40000.0,11000.0,264000.0,120000,1,1,61.111111111111114,1,Male (1),30.0,3-7 years (Classes 1-5),1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
73,5843.0,57.0,60000,30000,2400,1,Endline II,57600,60000.0,30000.0,2400.0,57600.0,90000,2,0,80.0,1,Female (0),44.0,0 years,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
74,5970.0,14.0,64000,32000,8000,10,Endline I,192000,64000.0,32000.0,8000.0,192000.0,96000,1,0,26.666666666666668,0,Male (1),43.0,0 years,0.0,1.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0
75,6040.0,138.0,34500,30000,2600,6,Endline II,62400,34500.0,30000.0,2600.0,62400.0,64500,12,1,14.444444444444445,0,Male (1),40.0,3-7 years (Classes 1-5),1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0
76,6057.0,134.0,10000,190000,9350,6,Endline II,224400,10000.0,190000.0,9350.0,224400.0,200000,21,0,51.94444444444445,1,Male (1),45.0,10 years,1.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
77,6169.0,14.0,50000,30000,1000,5,Endline I,24000,50000.0,30000.0,1000.0,24000.0,80000,1,0,6.666666666666667,0,Male (1),29.0,3-7 years (Classes 1-5),1.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
78,6211.0,57.0,50000,30000,4000,9,Endline II,96000,50000.0,30000.0,4000.0,96000.0,80000,2,0,14.814814814814817,0,Female (0),32.0,3-7 years (Classes 1-5),0.0,0.0,0.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0
79,6453.0,57.0,50000,30000,61700,5,Endline II,1480800,50000.0,30000.0,61700.0,1480800.0,80000,2,0,411.3333333333333,1,Female (0),65.0,3-7 years (Classes 1-5),1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
80,6593.0,137.0,50000,30000,360,3,Endline II,8640,50000.0,30000.0,360.0,8640.0,80000,14,1,4.0,0,Female (0),51.0,3-7 years (Classes 1-5),1.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
81,6623.0,35.0,50000,46000,5000,3,Endline I,120000,50000.0,46000.0,5000.0,120000.0,96000,34,1,55.55555555555555,1,Female (0),30.0,3-7 years (Classes 1-5),1.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
82,6720.0,62.0,52000,30000,7350,4,Endline I,176400,52000.0,30000.0,7350.0,176400.0,82000,7,1,61.25,1,Male (1),43.0,18 years (Graduate),1.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0
83,6737.0,64.0,90000,25000,6400,5,Endline I,153600,90000.0,25000.0,6400.0,153600.0,115000,7,0,42.66666666666667,1,Male (1),45.0,3-7 years (Classes 1-5),1.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0
84,6790.0,122.0,2000,36500,1000,2,Endline I,24000,2000.0,36500.0,1000.0,24000.0,38500,17,0,16.666666666666668,0,Female (0),34.0,0 years,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
85,6794.0,2.0,50000,30000,900,2,Endline II,21600,50000.0,30000.0,900.0,21600.0,80000,12,0,15.0,0,Male (1),60.0,0 years,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
